Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Videoshowstart,Videoshowstop,VideoshowRT,response.keys,response.corr,response.rt,key_skip.keys,total_score,Dot_ratio,current_score,Left_3.started,response_2.keys,response_2.corr,response_2.rt,key_skip_2.keys,text_2.started,text_5.started,key_resp.started,text_9.started,key_resp.keys,key_resp.rt,text_10.started,text_10.stopped,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,2,0,2,0,0,1,1,0,,,,,0,0,0,0,0,0,0,3,,,,,,,,277.03148859999965,278.24125129999993,1.209762700000283,right,1,1.1871297000016057,None,25,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,2,0,2,0,0,2,2,3,,,,,0,0,0,0,0,0,0,3,,,,,,,,282.17331249999916,283.6909883999997,1.5176759000005404,left,1,1.500823100001071,None,26,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,2,0,2,0,0,3,3,1,,,,,0,0,0,0,0,0,0,3,,,,,,,,287.6178001999997,289.0583244999998,1.4405243000001065,right,1,1.416342500002429,None,27,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,2,0,2,0,1,0,4,3,,,,,0,0,0,0,0,0,0,3,,,,,,,,293.00110929999937,294.65799010000046,1.6568808000010904,left,1,1.6245122000018455,None,28,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,2,0,2,0,1,1,5,1,,,,,0,0,0,0,0,0,0,3,,,,,,,,298.56733989999884,300.30801690000044,1.7406770000015968,right,1,1.723401000002923,None,29,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,2,0,2,0,1,2,6,2,,,,,0,0,0,0,0,0,0,3,,,,,,,,304.1947875999995,305.4249120000004,1.230124400000932,left,1,1.1987772000011319,None,30,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,2,0,2,0,1,3,7,0,,,,,0,0,0,0,0,0,0,3,,,,,,,,309.34948619999886,310.69127689999914,1.3417907000002742,right,1,1.3168887000010727,None,31,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,2,0,2,0,,,,,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,,,314.5939478,315.80796779999946,1.2140199999994365,,,,,29,57:43,-2,320.46301029999995,left,0,1.1919197000024724,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,2,0,2,0,,,,,0,1,1,3,0,0,0,0,0,0,0,3,,,,,,,,319.747036499999,321.5745972000004,1.8275607000014134,,,,,30,57:43,1,325.6160001999997,left,1,1.798615300000165,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,2,0,2,0,,,,,0,2,2,2,0,0,0,0,0,0,0,3,,,,,,,,325.47715029999927,326.8079493999994,1.3307991000001493,,,,,28,57:43,-2,331.34615349999876,right,0,1.3007491999997,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,2,0,2,0,,,,,0,3,3,0,0,0,0,0,0,0,0,3,,,,,,,,330.7575618999999,332.0079996000004,1.2504377000004752,,,,,26,57:43,-2,336.6265818999982,left,0,1.22802910000064,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,2,0,2,0,,,,,1,0,4,3,0,0,0,0,0,0,0,3,,,,,,,,335.91889880000053,337.7246247000003,1.805725899999743,,,,,24,57:43,-2,341.78792369999974,right,0,1.7783845000012661,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,2,0,2,0,,,,,1,1,5,1,0,0,0,0,0,0,0,3,,,,,,,,341.6397758000003,343.02461009999934,1.3848342999990564,,,,,22,57:43,-2,347.5087924999989,left,0,1.3622513000009349,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,2,0,2,0,,,,,1,2,6,0,0,0,0,0,0,0,0,3,,,,,,,,346.9206546000005,348.1745305000004,1.2538758999999118,,,,,23,57:43,1,352.7896950999984,right,1,1.2251564000016515,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,2,0,2,0,,,,,1,3,7,2,0,0,0,0,0,0,0,3,,,,,,,,352.0873628999998,353.4578727999997,1.3705098999998881,,,,,21,57:43,-2,357.9563485999988,right,0,1.3386079000010795,None,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,2,0,2,0,,,,,,,,,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,360.4599425999986,360.4599425999986,360.4599425999986,360.4599425999986,space,8.251068000001396,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,3,0,3,0,0,0,0,0,,,,,0,0,0,1,0,0,0,1,,,,,,,,365.6439516999999,366.8912746999995,1.2473229999995965,right,1,1.2222775000009278,None,22,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,3,0,3,0,0,1,1,1,,,,,0,0,0,1,0,0,0,1,,,,,,,,370.80381019999913,372.55814420000024,1.7543340000011085,right,1,1.7259284000010666,None,23,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,3,0,3,0,0,2,2,2,,,,,0,0,0,1,0,0,0,1,,,,,,,,376.4824128,377.7246147999995,1.2422019999994518,left,1,1.215817700000116,None,24,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,3,0,3,0,0,3,3,3,,,,,0,0,0,1,0,0,0,1,,,,,,,,381.62769469999876,383.27438319999965,1.6466885000008915,left,1,1.6302552000015567,None,25,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,3,0,3,0,1,0,4,0,,,,,0,0,0,1,0,0,0,1,,,,,,,,387.17930369999885,388.3746160999999,1.1953124000010575,right,1,1.1745637000003626,None,26,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,3,0,3,0,1,1,5,2,,,,,0,0,0,1,0,0,0,1,,,,,,,,392.3379203000004,393.6744899999994,1.3365696999990178,left,1,1.311257300001671,None,27,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,3,0,3,0,1,2,6,1,,,,,0,0,0,1,0,0,0,1,,,,,,,,397.5800185999997,399.30778929999906,1.7277706999993825,right,1,1.7096595000020898,None,28,60:40,1,,,,,,,,,,,,,,negar,1 - without skip,"60:40, 57:43","2.0s, 1.5s",2023-07-18_18h09.12.725,Rewa's Exp,2023.1.2,59.98271298185268,
