Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,DotsshowRT,response.keys,response.corr,response.rt,total_score,Left_3.started,response_2.keys,response_2.rt,response_3.keys,response_3.rt,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,1,0,1,0,,,,,0,5,5,3,,,,,1.784995699999854,,,,-34,153.51801560004242,None,,,,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
,,,,,1,0,1,0,,,,,,,,,0,0,0,0,1.1847257998306304,,,,-36,,,,right,0.8242951997090131,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
,,,,,1,0,1,0,,,,,,,,,1,0,1,0,1.617575400043279,,,,-38,,,,None,,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
,,,,,1,0,1,0,,,,,,,,,2,0,2,0,0.9688788999337703,,,,-40,,,,right,0.6414734998252243,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
,,,,,1,0,1,0,,,,,,,,,3,0,3,0,1.0347736000549048,,,,-42,,,,left,0.6712875997181982,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
,,,,,1,0,1,0,,,,,,,,,4,0,4,0,0.801440899958834,,,,-44,,,,right,0.47208729991689324,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,179.84380110003985,180.84363040002063,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
Countdown_2s.mp4,green,red,left,Countdown_2s.jpg,2,0,2,0,0,0,0,5,,,,,,,,,0.9846904000733048,right,0,0.6255729999393225,-46,,,,,,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,2,0,2,0,0,1,1,3,,,,,,,,,0.871046399930492,left,1,0.49095149990171194,-45,,,,,,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
Countdown_2s.mp4,red,green,right,Countdown_2s.jpg,2,0,2,0,0,2,2,1,,,,,,,,,0.7845683000050485,right,1,0.4453702997416258,-44,,,,,,,,321945,001,2023-07-12_13h51.45.847,Rewa's Exp,2023.1.2,59.964656799509406,
